序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1,1,平安银行,平安银行股份有限公司,深圳市,罗湖区,1057.86亿,231.89亿,34980,1991-04-03,--,,银行,--,经有关监管机构批准的各项商业银行业务
2,2,万科A,万科企业股份有限公司,深圳市,盐田区,2428.97亿,372.08亿,133455,1991-01-29,--,,房地产开发,--,房地产开发和物业服务
3,4,国农科技,深圳中国农大科技股份有限公司,深圳市,南山区,1.39亿,589.22万,251,1991-01-14,--,,生物医药,--,移动互联网安全业务及移动互联网游戏运营相关服务。
4,5,世纪星源,深圳世纪星源股份有限公司,深圳市,罗湖区,5.31亿,2293.60万,680,1990-12-10,--,,环保工程、物业管理,--,绿色低碳城市社区建设相关的服务业务
5,6,深振业A,深圳市振业(集团)股份有限公司,深圳市,罗湖区,29.59亿,8.20亿,--,1992-04-27,--,,房地产开发,--,从事房地产开发与销售
6,7,全新好,深圳市全新好股份有限公司,深圳市,福田区,3964.40万,79.51万,84,1992-04-13,--,,物业经营,--,物业管理和房屋租赁业等
7,8,神州高铁,神州高铁技术股份有限公司,北京市,海淀区,23.31亿,8.90亿,2618,1992-05-07,--,,轨道交通设备,--,专业致力于为轨道交通安全运营提供监测、检测、维修、保养设备和服务及整体解决方案
8,9,中国宝安,中国宝安集团股份有限公司,深圳市,罗湖区,70.71亿,3.23亿,13239,1991-06-25,--,,综合,--,新能源、新材料及其它高新技术产业、生物医药业、房地产业以及其他行业
9,10,美丽生态,深圳美丽生态股份有限公司,深圳市,宝安区,7.58亿,-10.62亿,339,1995-10-27,--,,园林工程,--,从事苗木种植、园林绿化工程施工和养护为一体的综合性园林服务。
10,11,深物业A,深圳市物业发展(集团)股份有限公司,深圳市,罗湖区,29.05亿,6.23亿,7769,1992-03-30,--,,房地产开发,--,从事房地产开发经营，兼营物业管理、房屋租赁、出租车客运、餐饮服务等
